Title,Location,Company,Salary,Advert Date
Data Engineer,Luton Airport,easyJet,,May 2021
Performance Analyst,Hertfordshire,BNP Paribas,,1/4/2021
Primary Transport Analyst,Welwyn Garden City,Tesco,,16/4/2021
Data Science Analyst,Hertfordshire,Datatech Analytics,"£35,000 a year",27/4/2021
Pricing Analyst,Luton Airport,easyJet,,
Business Intelligence Analyst,Welwyn Garden City,Tesco,,13/3/2021
Data Analyst,,Robert Half United Kingdom,,23/5/2021
Campaign & Data Analyst,Hatfield,Ocado,,April 2021
Bioanalyst Scientist,Stevenage,GSK,,30/5/2021
Process Reengineering Analyst,Hertfordshire,BNP Paribas,,May 2021
ERSOU ROCU - Confidential Unit Intelligence Analyst,Hertfordshire,Hertfordshire Police,"£30,951 - £32,796 a year",March 2021
SOC Analyst,Welwyn Garden City,Tesco,,11/4/2021
Data & MI Analyst,Stevenage,CKB Recruitment,"£21,000 a year",24/3/2021
Analyst,Welwyn Garden City,Tesco,,May 2021
Reporting Analyst,Hatfield,Computacenter,,2/5/2021
Data Analyst,Hatfield,Ocado Group,,May 2021
"TB-4590; Project Management Office Analyst,",Luton,B2E Consulting Ltd,,30/5/2021
MI Analyst,Luton,Guidant Global,"£30,000 - £35,000 a year",12/3/2021
Service Desk Analyst,Hatfield,Ocado Group,,11/4/2021
"Feasibility Research Analyst I (Home/Office-Based, UK/Europe...",Stevenage,IQVIA,,
DIGITAL BUSINESS ANALYST / PRODUCT OWNER,Hertfordshire,Guru,"£40,000 - £45,000 a year",31/5/2021
Transition Project Analyst - Operations,Hatfield,Ocado Group,,4/5/2021
IRM Reporting Analyst,Hertfordshire,GSK,,1/5/2021
Service Transition Analyst - Operations,Hatfield,Ocado Group,,March 2021
Market Analyst,Hertfordshire,Nicholson Glover Consulting,,5/3/2021
Statistical Programmer Analyst / Senior Statistical Programm...,Welwyn,Roche,,April 2021
Data Analyst - Automation,Hatfield,Ocado Group,,5/4/2021
SAP IT Analyst,Hertford,Hertfordshire County Council,"£20,000 a year",27/5/2021
Desktop Support Analyst,Hatfield,Cardtronics UK Ltd,,10/4/2021
Commerical Pricing Analyst,Stevenage,Tate,"£25,000 - £28,000 a year",1/5/2021
"Support Analyst (Integra, SQL, ISQMS)",Letchworth,Ampersand Consulting,"£30,000 - £38,000 a year",25/4/2021
Infosec Governance Analyst (GRC),Hatfield,Ocado Group,,April 2021
Technology Data Analyst,East Hertfordshire,Stanton House,£350 - £400 a day,25/3/2021
Trading Analyst,Luton Airport,easyJet,,April 2021
Supply Chain Analyst,Hatfield,Ocado Group,,1/5/2021
Web Analyst,Luton Airport,easyJet,,April 2021
Business Analyst,Luton Airport,easyJet,,20/5/2021
Insight Supply Analyst,Hertfordshire,Harnham,"£32,000 - £40,000 a year",7/4/2021
Senior ALM Analyst,Letchworth,Redwood Bank,,3/3/2021
Data Administrator,Letchworth,Lawrence Dean Recruitment,"£21,000 - £24,000 a year",5/4/2021
Interim IT Data Integrity Analyst,Stevenage,CK Group,"£42,000 a year",March 2021
Finance Analyst - Activity & Revenue,Luton,TUI UK Limited,,6/4/2021
Supplier Insight Analyst,Hatfield,Ocado,,10/4/2021
Technical Architect,Luton,Understanding Recruitment,"£85,000 a year",April 2021
Technical Support Analyst,Luton,TUI UK Limited,,0/5/2021
Analyst,Luton Airport,easyJet,,3/4/2021
"Investigator, Spatial Tissue Omics and Multiplex Imaging UK",Stevenage,GSK,,11/5/2021
Asbestos Analyst,Letchworth,Lucion Services,,May 2021
Information Security Analyst (GRC),Hatfield,Ocado Group,,18/5/2021
Network Planning Analyst,Luton Airport,easyJet,,23/5/2021
Business Analyst - Markets and Trends,Hertfordshire,Cirrus Selection,"£55,000 - £65,000 a year",
Pricing Analyst,Stevenage,Autotech Recruit,"£30,000 - £35,000 a year",March 2021
Technical Support Analyst,Luton,tuiinfotec,,22/3/2021
Finance Analyst - Activity & Revenue,Luton,tuiinfotec,,May 2021
Senior Market Analyst or Market Analyst,Hertfordshire,Nicholson Glover Consulting,,10/3/2021
Disability Analyst,Luton,Ascenti,"£32,000 a year",25/5/2021
IT Commercial Analyst | TUI | Luton,Luton,TUI UK Limited,,
Finance Analyst,Luton,Guidant Global,"£40,000 - £45,000 a year",20/5/2021
Interim IT Data Integrity Analyst,Stevenage,Northpoint Recruitment,,18/4/2021
FP&A Analyst,Luton,First Port,,7/4/2021
Information Security Analyst | Luton | TUI,Luton,TUI UK Limited,,March 2021
Hyperion Analyst,Hatfield,Ocado,,3/5/2021
Strategy Analyst,Luton Airport,easyJet,,2/4/2021
Information Security Analyst | Luton | TUI,Luton,tuiinfotec,,29/3/2021
IT Commercial Analyst | TUI | Luton,Luton,tuiinfotec,,March 2021
PROJECT MANAGER - PROJECT ANALYST (TELECOMS),Hatfield,Spring,,
BI Business Analyst,Luton Airport,easyJet,,4/5/2021
Security Analyst I - IAM,Welwyn Garden City,Tesco,,18/5/2021
HR Systems Analyst,Letchworth,Willmott Dixon Group,,March 2021
HR Systems Analyst,Letchworth,Willmott Dixon,,12/5/2021
Compensation and Benefits Analyst - Hatfield,Hatfield,Page Personnel - UK,,28/3/2021
Information Security Analyst,Hertfordshire,Harnham,"£45,000 - £50,000 a year",16/3/2021
Senior Optimisation Analyst,Welwyn Garden City,Tesco,,March 2021
Category Analyst,Hertfordshire,Nicholson Glover Consulting,,March 2021
Security Engineer - DFIR,Welwyn Garden City,Tesco,,11/5/2021
Technical Architect,Luton Airport,easyJet,,11/5/2021
Enumerator (Zero Hours) - Highways – Hertford,Hertford,WSP,,27/3/2021
Pricing Analyst,Luton,Stonegate Pub Company,,May 2021
Technical Web Analyst,Luton,Ascendant Recruitment,"£40,000 a year",23/4/2021
Delivery Planning Analyst,Hatfield,Ocado Group,,2/5/2021
Transport Planning Analyst,Hatfield,Ocado Group,,
eCommerce Analyst,Hertfordshire,Metrica Recruitment,"£28,000 - £32,000 a year",6/4/2021
Security Analyst II - DLP,Welwyn Garden City,Tesco,,April 2021
Surveyor / Analyst,Luton,HSL Compliance,,11/4/2021
Senior Planning Analyst,Hatfield,Ocado Group,,17/5/2021
Forecast Planning Analyst,Hatfield,Ocado Group,,4/3/2021
Business Intelligence Analyst,Hatfield,Ocado Group,,March 2021
Warehouse Planning Analyst,Hatfield,Ocado Group,,0/4/2021
